,Symbol,Date,Pressure,Call_Open_Int,Put_Open_Int,Call_ROI,Put_ROI
1380,HAIN,2016-10-21,0.5,6872.0,805.0,-0.25,-0.32653061224489804
1381,HAIN,2016-10-24,0.6,7080.0,873.0,-0.20754716981132068,-0.4035087719298246
1382,HAIN,2016-10-26,0.5,64.0,10.0,-0.24242424242424238,-0.078125
1383,HA,2016-10-20,0.5,147.0,30.0,-0.7777777777777777,0.5000000000000001
1384,HA,2016-10-21,0.5,151.0,22.0,-0.7999999999999999,0.39473684210526316
1385,GSVC,2016-10-24,0.3,16.0,41.0,-0.7500000000000001,-0.1250000000000001
1386,GS,2016-10-11,0.5,877.0,115.0,-0.03424657534246575,-0.23484848484848483
1387,GS,2016-10-25,0.5,1281.0,665.0,0.375,-0.12037037037037043
1388,GRUB,2016-10-07,0.5,631.0,182.0,0.025641025641025664,-0.2837837837837838
1389,GRPN,2016-10-26,0.6,1192.0,648.0,-0.961038961038961,0.4418604651162791
1390,GPS,2016-10-06,0.6,605.0,1616.0,1.541899441340782,-0.7916666666666666
1391,GPS,2016-10-11,0.6,4425.0,340.0,-0.20000000000000004,0.1285714285714287
1392,GPS,2016-10-12,0.6,4426.0,350.0,-0.07653061224489792,-0.06716417910447767
1393,GPS,2016-10-25,0.6,4764.0,947.0,0.09659090909090905,-0.05691056910569111
1394,GPRO,2016-10-06,0.5,1390.0,4645.0,-0.6886792452830188,0.6602316602316602
1395,GPRO,2016-10-07,0.4,1410.0,4664.0,-0.6753926701570682,0.5808823529411763
1396,GPRO,2016-10-19,0.4,31.0,49.0,-0.3362831858407079,-0.028301886792452855
1397,GPRO,2016-10-20,0.5,48.0,50.0,-0.49193548387096775,0.07894736842105259
1398,GPRO,2016-10-21,0.4,71.0,50.0,-0.5299145299145298,0.17647058823529416
1399,GPRO,2016-10-24,0.6,102.0,163.0,-0.6882352941176471,0.7652173913043477
1400,GOOGL,2016-10-06,0.5,149.0,60.0,-0.006644518272425343,-0.08562691131498483
1401,GOOG,2016-10-06,0.5,118.0,274.0,-0.02405498281786951,-0.08490566037735847
1402,GNW,2016-10-06,0.7,3754.0,671.0,-0.14062499999999994,-0.01960784313725492
1403,GNW,2016-10-07,0.5,3760.0,671.0,-0.12698412698412692,-0.07692307692307698
1404,GNW,2016-10-10,0.5,3790.0,671.0,-0.135593220338983,0.020833333333333353
1405,GNW,2016-10-25,0.4,5189.0,1018.0,-0.6666666666666666,0.9555555555555555
1406,GNW,2016-10-26,0.2,5326.0,1010.0,-0.7272727272727273,0.2666666666666667
1407,GNRT,2016-10-24,0.5,25.0,19.0,-0.875,0.12499999999999997
1408,GNRT,2016-10-25,0.1,72.0,17.0,-0.8181818181818182,-0.3333333333333333
1409,GNRT,2016-10-26,0.1,72.0,17.0,-0.9,0.6153846153846154
1410,GM,2016-10-06,0.4,6458.0,665.0,-0.4273504273504273,0.32
1411,GM,2016-10-07,0.4,6095.0,4308.0,-0.26347305389221554,0.12030075187969919
1412,GM,2016-10-11,0.5,6383.0,4315.0,-0.34306569343065696,0.21768707482993202
1413,GM,2016-10-12,0.4,6374.0,4310.0,-0.07936507936507943,-0.09375000000000008
1414,GM,2016-10-21,0.4,302.0,68.0,-0.3977272727272727,-0.1250000000000001
1415,GM,2016-10-25,0.5,7575.0,1243.0,-0.7094017094017093,0.6449275362318841
1416,GM,2016-10-26,0.6,12554.0,6381.0,-0.0751879699248121,0.07526881720430102
1417,GLD,2016-10-07,0.5,2728.0,2575.0,-0.13432835820895528,-0.05882352941176463
1418,GLD,2016-10-10,0.5,4146.0,3832.0,-0.12352941176470586,-0.10294117647058826
1419,GLD,2016-10-12,0.5,4141.0,3857.0,0.12698412698412695,-0.3044776119402985
1420,GLD,2016-10-17,0.4,174.0,31.0,0.0935960591133007,-0.37401574803149606
1421,GLD,2016-10-18,0.5,199.0,53.0,0.32535885167464124,-0.5367965367965368
1422,GLD,2016-10-21,0.5,79.0,7.0,0.16831683168316824,-0.27962085308056867
1423,GIMO,2016-10-18,0.5,43.0,69.0,-0.10256410256410255,-0.32142857142857145
1424,GIMO,2016-10-20,0.6,47.0,69.0,-0.5,0.3714285714285714
1425,GILD,2016-10-25,0.5,23.0,21.0,-0.12238805970149258,0.20155038759689922
1426,GILD,2016-10-26,0.5,23.0,22.0,-0.3698630136986301,0.3235294117647059
1427,GGB,2016-10-25,0.8,3785.0,653.0,-0.3636363636363637,-0.6
